,Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
386,EVGA CLC 120 RGB,$92.83 USD,EVGA,400-HY-CL12-V1,4250812418029,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/EVGA-Liquid-Cooler-Cooling-400-HY-CL12-V1/dp/B01N9X3HY1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N9X3HY1
387,EVGA CLC 240 RGB,$97.19 USD,EVGA,400-HY-CL24-V1,4250812420756,843368048716.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B074WH52BW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
388,EVGA CLC 280 RGB,$82.48 USD,EVGA,400-HY-CL28-V1,4250812418036,843368045937.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B01MSDQTMU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
389,Fractal Design Celsius S24 - 240 mm,$148.26 USD,Fractal Design,FD-WCU-CELSIUS-S24-BK,7350041084457,817301014458.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0719DHG5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
390,Fractal Design Celsius S36 - 360 mm,$123.31 USD,Fractal Design,FD-WCU-CELSIUS-S36-BK,7350041084464,817301014465.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/Fractal-Design-FD-WCU-CELSIUS-S36-BK-Cooler/dp/B0725KY3N7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0725KY3N7
392,Gigabyte Aorus ATC700 - 2x 120mm,$87.04 USD,Gigabyte,GP-ATC700,4719331550127,,"1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",170 mm,,0,0,0,0,0,False,https://www.amazon.ca/Gigabyte-GP-ATC700-AORUS-CPU-Cooler/dp/B074ZLW8DR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074ZLW8DR
397,"Hyper 212 LED with PWM Fan, Four Direct Contact Heatpipes, Unique Fan Blade Design, Red LEDs, Optimized Bracket Design by Cooler Master",$23.93 USD,Cooler Master,RR-212L-16PR-R1,884102029486,884102029486.0,"2011-V3 , 2011 , 1151 , 1150 , 1155 , 1156 , 775, AM3+ , AM3 , AM2+ , FM2+ , FM2 , FM1",160 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B01KBXKP8W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
399,Intel Thermal Solution HTS1155LP - socket 1155,$26.11 USD,Intel,BXHTS1155LP,5032037019668,,"1150, 1151, 1155",26 mm,,0,0,0,0,0,False,https://www.amazon.ca/Intel-Cooling-Fan-Heatsink-BXHTS1155LP/dp/B0065ZUXS8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0065ZUXS8
400,Intel Thermal Solution TS13X,$91.37 USD,Intel,BXTS13X,5032037052597,,"1150, 1155, 1156, 1366, 2011",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/Intel-BXTS13X-Motherboard-Liquid-Cooler-Black/dp/B00CYX45CK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00CYX45CK
426,"Lian Li GALAHAD 240 SL v2, , ARGB - black",$164.92 USD,Lian Li,GALAHAD AIO 240 SL V2 Black,4718466011282,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09QG4NJ4F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
427,"Lian Li GALAHAD 240 SL v2, , ARGB - white",$174.02 USD,Lian Li,Galahad AIO 240 SL v2 White,4718466011275,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09P3LFSTQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
428,"Lian Li GALAHAD 240 SL, , ARGB - black",$164.92 USD,Lian Li,GALAHAD AIO 240 SL Black,4718466010797,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09QG4NJ4F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
429,"Lian Li GALAHAD 240 SL, , ARGB - white",$174.02 USD,Lian Li,GALAHAD 240 SL White,4718466010780,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09P3LFSTQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
430,"Lian Li GALAHAD 240 V2 , DRGB - black",$154.48 USD,Lian Li,GALAHAD AIO 240 v2 RGB BLACK,4718466011244,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09MPX8RLG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
431,"Lian Li GALAHAD 240 v2 , DRGB - white",$180.86 USD,Lian Li,GALAHAD AIO 240 RGB v2,4718466011237,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09N3F57V5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
432,"Lian Li GALAHAD 360 SL V2, , ARGB - black",$350.87 USD,Lian Li,GALAHAD 360 SL V2 Black,4718466011305,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0B9M622X5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
433,"Lian Li GALAHAD 360 SL v2, , ARGB - white",$216.01 USD,Lian Li,Galahad AIO 360 SL v2 White,4718466011299,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09KN8Y68Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
434,"Lian Li GALAHAD 360 SL, , ARGB - black",$350.87 USD,Lian Li,GALAHAD 360 SL Black,4718466010810,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0B9M622X5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
435,"Lian Li GALAHAD 360 SL, , ARGB - white",$216.01 USD,Lian Li,GALAHAD 360 SL White,4718466010803,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09KN8Y68Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
436,"Lian Li GALAHAD 360 V2 , ARGB - black",$163.41 USD,Lian Li,GALAHAD 360 RGB BLACK V2,4718466011268,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09N3G22HG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
437,"Lian Li GALAHAD 360 V2 , ARGB - white",$181.31 USD,Lian Li,GALAHAD 360 RGB WHITE V2,4718466011251,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, 775, AM4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09MPYPHJB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
442,Montech Metal DT24 Base,$79.66 USD,Montech,Metal DT24 Base,4710562741216,,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",153 mm,270 W,0,0,0,0,0,False,https://www.amazon.ca/dp/B0BNKS9BBZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
443,Montech Metal DT24 Premium,$89.66 USD,Montech,Metal DT24 Premium,4710562741223,,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",153 mm,270 W,0,0,0,0,0,False,https://www.amazon.ca/dp/B0BNKRCJP6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
447,"MSI MAG CoreLiquid 240R V2 White , ARGB",$87.04 USD,MSI,306-7ZW1B50-813,4719072901004,824142273661.0,"2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09QFYX1KX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
448,"MSI MAG CoreLiquid 360R V2 , ARGB",$130.56 USD,MSI,306-7ZW1C41-813,4719072864088,824142262924.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09HRNPNTD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
449,"MSI MAG CoreLiquid C240 , ARGB",$87.04 USD,MSI,306-7ZW2R11-813,4719072851279,824142258996.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09931G795?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
450,"MSI MAG CoreLiquid C280 , ARGB",$130.56 USD,MSI,306-7ZW2R21-813,4719072851446,824142259009.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B0991KX57D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
451,"MSI MAG CoreLiquid C360 , ARGB",$146.56 USD,MSI,306-7ZW2R31-813,4719072851453,824142259016.0,"2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0992176M7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
452,MSI MAG CoreLiquid P240,$87.04 USD,MSI,306-7ZW2P11-813,4719072851460,824142259047.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09931VWWM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
453,MSI MAG CoreLiquid P360,$116.05 USD,MSI,306-7ZW2P31-813,4719072851484,824142259061.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM5, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09Q7GTTGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
454,MSI MEG CoreLiquid S280,$169.72 USD,MSI,9S6-6A0431-001,4719072858230,824142261170.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150,1151,1155,1156, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B09CQCX4VM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
455,MSI MEG CoreLiquid S360,$268.38 USD,MSI,9S6-6A0521-001,4719072859466,824142261583.0,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09HR7DYXW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
457,NH-D15,$97.92 USD,Noctua,NH-D15,7967907240294,807320186861.0,"AM4, 2011-V3, 1151, FM2, FM2+, AM3, AM3+, 1700, AM5",165 mm,,0,0,0,2,0,True,https://www.amazon.ca/Noctua-NH-D15-Premium-Cooler-NF-A15/dp/B00L7UZMAK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00L7UZMAK
463,Noctua NH-C14S - 140mm,$80.15 USD,Noctua,NH-C14S,4716123315698,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",142 mm,,0,0,0,0,0,True,https://www.amazon.ca/Noctua-NH-C14S-Premium-Cooler-NF-A14/dp/B00XUV3JTK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00XUV3JTK
468,Noctua NH-D15S 140mm,$72.5 USD,Noctua,NH-D15S,4716123315681,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",165 mm,,0,0,0,0,0,True,https://www.amazon.ca/Noctua-NH-D15S-Premium-Dual-Tower-Cooler/dp/B00XUVGLEU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00XUVGLEU
471,Noctua NH-D9DX i4 3U - 92mm,$58.02 USD,Noctua,NH-D9DX i4 3U,4716123315599,,"1366, 2011, 2011-V3, 2066, 1700",110 mm,,0,0,0,0,0,True,https://www.amazon.ca/Cooler_-Cooling-NH-D9DX-i4-3U/dp/B0149QDR2I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0149QDR2I
472,"Noctua NH-D9L 92mm SSO2 Low-profile Premium , NF-A9 PWM Fans",$54.36 USD,Noctua,NH-D9L,842431012487,842431012487.0,"2011-0, 2011-V3, 1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2, 1700",110 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00QCEWTAW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
474,Noctua NH-L9a - 92mm,$50.04 USD,Noctua,NH-L9A,4716123314882,842431014276.0,"AM2, AM3, AM3+, FM1, FM2, FM2+",37 mm,,0,0,0,0,0,False,https://www.amazon.ca/Noctua-Low-profile-Cooler-Retail-Cooling/dp/B009VY1R9O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009VY1R9O
475,Noctua NH-L9a 92mm SSO2,$50.04 USD,Noctua,NH-L9a,842431014276,,"AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2",37 mm,,0,0,0,0,0,False,https://www.amazon.ca/Noctua-Low-profile-Cooler-Retail-Cooling/dp/B009VY1R9O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009VY1R9O
481,Noctua NH-L9i 95mm SSO2,$36.8 USD,Noctua,NH-L9i,842431014269,842431014269.0,"1150, 1155, 1156",37 mm,,0,0,0,0,0,False,https://www.amazon.ca/Noctua-NH-L9i-Premium-Low-Profile-LGA115x/dp/B009VCAJ7W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009VCAJ7W
485,Noctua NH-L9x65 - 92mm,$55.31 USD,Noctua,NH-L9X65,4716123315629,842431012517.0,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+",65 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00VB3Y89E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
486,"Noctua NH-L9x65 92 x 92 x 14mm, 92 x 92 x 25mm SSO2 Low-profile Quiet , NF-A9x14 PWM fan",$55.31 USD,Noctua,NH-L9x65,842431012517,,"1150, 1155, 1156, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, 1700",65 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00VB3Y89E?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
490,Noctua NH-U12DXi4 - 120mm,$62.96 USD,Noctua,NH-U12DXi4,4716123314974,,"1366, 2011, 2011-V3, 2066",125 mm,,0,0,0,0,0,True,https://www.amazon.ca/Noctua-Cooler-LGA2011-Platforms-NH-U12DXi4/dp/B00DWFQ42I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00DWFQ42I
491,Noctua NH-U12S 120x120x25 ( NF-F12 PWM) SSO2-Bearing ( Self-stabilising oil-presure bearing ),$54.3 USD,Noctua,NH-U12S,842431014306,,"2011, 1156,1155, 1150, AM2,AM2+,AM3, AM3+, FM1, FM2, 1700",158 mm,,0,0,0,0,0,False,https://www.amazon.ca/Noctua-NH-U12-Sockets-Heatpipe-Cooling/dp/B00C9EYVGY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00C9EYVGY
497,Noctua NH-U14S 140mm SSO2-Bearing (Self-stabilising oil-presure bearing),$71.3 USD,Noctua,NH-U14S,842431014313,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, FM1, FM2, FM2+, 1700",165 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00C9FLSLY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
502,Noctua NH-U9DXi4 - 92mm,$54.37 USD,Noctua,NH-U9DXi4,4716123314967,,"1366, 2011, 2011-V3, 2066",125 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00E1JGFA0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
508,NZXT KRAKEN M22,$83.01 USD,NZXT,RL-KRM22-01,5060301694013,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/NZXT-Kraken-M22-120mm-RL-KRM22-01/dp/B079JF6NDC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079JF6NDC
509,NZXT KRAKEN X42 V2,$123.31 USD,NZXT,RL-KRX42-02,5060301693740,815671013422.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,0,1,0,False,https://www.amazon.ca/NZXT-RL-KRX42-02-Software-Controlled-Lighting/dp/B06XXJ86WJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XXJ86WJ
510,NZXT KRAKEN X52 V2,$150.38 USD,NZXT,RL-KRX52-02,5060301693757,815671013439.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B06XWYY83S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
512,NZXT KRAKEN X62 V2,$143.17 USD,NZXT,RL-KRX62-02,5060301693764,815671013446.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B06XX8Q1CL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
513,NZXT KRAKEN X72,$183.79 USD,NZXT,RL-KRX72-01,5060301694037,815671013729.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B079J2N8Q8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
514,"NZXT Kraken Z53 RGB , black",$263.0 USD,NZXT,RL-KRZ53-R1,5060301696536,815671016614.0,"2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09GKP2Q2H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
516,NZXT KRAKEN Z73,$258.95 USD,NZXT,RL-KRZ73-01,5060301695478,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B084HMGKWT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
517,"NZXT Kraken Z73 RGB , black",$339.0 USD,NZXT,RL-KRZ73-R1,5060301696550,815671016638.0,"2066, 2011-V3, 1366, 1200, 1150, 1151, 1155, 1156, AM4, sTRX4, TR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09GKQJK5P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
519,"PH-TC12LS, Slim Low-Profile, 120mm PWM Processor cooler",$39.89 USD,Phanteks Company,PH-TC12LS_BK,886523000631,,"2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",74 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00QJI75AA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
520,"PH-TC14S, Slim Twin Towers, 140mm PWM Processor cooler",$47.14 USD,Phanteks Company,PH-TC14S_BK,886523000617,,"2011,1150,1151,1155,1156,1366,775,FM1,FM2,AM3,AM2",160 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00QJI9JFE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
522,"PHANTEKS Glacier One 240 MPH , D-RGB - black",$240.4 USD,PHANTEKS,PH-GO240MPH_DBK01,886523002178,,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09MCDFSXL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
524,"PHANTEKS Glacier One 240 T30 , D-RGB - black",$204.89 USD,PHANTEKS,PH-GO240T30_DAG01,886523002123,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2066, AM4, sTRX4, TR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09B2KBSH3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
526,"PHANTEKS Glacier One 280 MPH , D-RGB - black",$196.98 USD,PHANTEKS,PH-GO280MPH_DBK01,886523002147,,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B09MCG5VJ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
528,"PHANTEKS Glacier One 360 MPH , D-RGB - black",$145.07 USD,PHANTEKS,PH-GO360MPH_DBK01,886523002130,,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, sTRX4, TR4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09MCG3DVY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
531,Phanteks PH-TC12DX 120mm PWM,$54.4 USD,Phanteks Company,PH-TC12DX,886523000341,,"1150,2011,1150,1155,1156,1366,775, FM2,FM1,AM3+,AM3,AM2+,AM2",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00AXUTKEY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
532,Phanteks PH-TC12DX_BK 2 x 120mm PWM,$48.05 USD,Phanteks Company,PH-TC12DX_BK,886523000365,,"1150 , 2011 , 1150 , 1155 , 1156 , 1366 , 775, FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",157 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00AXUTKEE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
533,PHANTEKS PH-TC12LS mit RGB Halos - 120mm,$52.42 USD,PHANTEKS,PH-TC12LS_RGB,886523001447,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",80 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07L9XSXBZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
534,"PHANTEKS PH-TC12LS HTPC - 120mm, black",$39.89 USD,PHANTEKS,PH-TC12LS_BK,886523000631,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",75 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B00QJI75AA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
535,"PHANTEKS PH-TC14CS - 140mm, blue",$79.78 USD,PHANTEKS,PH-TC14CS_BL,886523000068,,"1150, 1151, 1155, 1156, 1366, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",138 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B007V9XAVY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
536,"PHANTEKS PH-TC14PE - 140mm, orange",$94.29 USD,PHANTEKS,PH-TC14PE_OR,886523000044,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+",171 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B005OS46MQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
537,"PHANTEKS PH-TC14PE - 140mm, black",$79.13 USD,PHANTEKS,PH-TC14PE_BK,886523000174,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",171 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B007ZZE63A?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
538,"PHANTEKS PH-TC14PE - 140mm, silver",$89.93 USD,PHANTEKS,PH-TC14PE,886523000006,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",171 mm,,0,0,0,0,0,True,https://www.amazon.ca/dp/B005OREE38?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
