,Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
384,Kingston Value DDR3-1600 CL11,$115.0 USD,Kingston,KVR16N11K2/16,740617207484,740617207484.0,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B008C4LITS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
387,Kingston ValueRAM,$157.25 USD,Kingston,KVR48U40BS8-16,740617325096,,DDR5-4800,16 GB,4800,40-39-39,1,https://www.amazon.ca/dp/B09KMD4BR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
388,Kingston ValueRAM,$330.18 USD,Kingston,KVR48U40BS8K2-32,740617325102,,DDR5-4800,32 GB,4800,40-39-39,2,https://www.amazon.ca/dp/B09KMD1JW8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
409,Thermaltake Toughram RGB DDR4-3200 CL16 - 16 GB Dual-Kit,$96.83 USD,Thermaltake,R009D408GX2-3200C16A,4713227522069,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/Thermaltake-TOUGHRAM-Motherboard-Syncable-R009D408GX2-3200C16A/dp/B07XVZHHXS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07XVZHHXS
410,Thermaltake Toughram RGB DDR4-3600 CL18 - 16 GB Dual-Kit,$107.5 USD,Thermaltake,R009D408GX2-3600C18B,4713227522076,,DDR4-3600,16 GB,3600,18-22-22-42,2,https://www.amazon.ca/Thermaltake-TOUGHRAM-Motherboard-Syncable-R009D408GX2-3600C18B/dp/B07XVZWQLQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07XVZWQLQ
412,ADATA Premier Series DDR3-1600 CL11,$67.87 USD,Adata,AD3U1600W8G11-R,4713435794159,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/-DATA-Premier-1600Mhz-Desktop-AD3U1600W8G11-R/dp/B007UHFW2W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007UHFW2W
414,ADATA XPC V1.0 DDR3-1600 CL9,$75.82 USD,Adata,AX3U1600W4G9-DB,4713435798362,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/ADATA-USA-1600MHZ-12800-AX3U1600W4G9-DB/dp/B00F902ON2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00F902ON2
423,ADATA XPG Gammix D10,$80.53 USD,ADATA,AX4U266638G16-DBG,4713218462183,,DDR4-2666,16 GB,2666,16-17-17,2,https://www.amazon.ca/dp/B074RNY5DB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
432,ADATA XPG Spectrix RGB D41 grey,$96.93 USD,ADATA,AX4U300038G16-DT41,4713218466969,,DDR4-3000,16 GB,3000,16-18-18,2,https://www.amazon.ca/dp/B07CQ9NG46?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
444,Ballistix Tactical DDR4-3000 CL15,$28.35 USD,Ballistix,BLT8G4D30AETA,649528778826,,DDR4-3000,8 GB,3000,,1,https://www.amazon.ca/dp/B01GZ1SPK4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
445,Corsair 16GB,$57.0 USD,Corsair,CMV16GX4M1A2133C15,4056572728169,843591069656.0,DDR4-2133,16 GB,2133,15-15-15-36,1,https://www.amazon.ca/dp/B0123ZCD36?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
446,Corsair 16GB,$62.38 USD,Corsair,CMV16GX4M1A2400C16,843591024242,843591024242.0,DDR4-2400,16 GB,2400,16-16-16-39,1,https://www.amazon.ca/dp/B06XYNCBB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
448,Corsair 1GB DDR Memory,$33.66 USD,Corsair,VS1GB400C3,6558051386559,12304981053.0,DDR1-400,1 GB,400,3-3-3-8,1,https://www.amazon.ca/Corsair-PC-3200-184-pin-Desktop-VS1GB400C3/dp/B0006ITZF2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0006ITZF2
449,Corsair 1GB DDR2 Memory,$17.97 USD,Corsair,VS1GB667D2,767873479875,767873479875.0,DDR2-667,1 GB,667,5-5-5-15,1,https://www.amazon.ca/Corsair-1x1GB-Desktop-Memory-VS1GB667D2/dp/B000A1GWQU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B000A1GWQU
450,Corsair 1GB DDR2 Memory,$22.94 USD,Corsair,VS1GB533D2,5052179817571,12300514040.0,DDR2-533,1 GB,533,4-4-4-12,1,https://www.amazon.ca/Corsair-VS1GB533D2-PC2-4200-240-pin-Desktop/dp/B0006ITZES?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0006ITZES
452,Corsair 2GB DDR2 Memory,$30.2 USD,Corsair,VS2GB800D2,843591004534,132018259542.0,DDR2-800,2 GB,800,5-5-5-18,1,https://www.amazon.ca/Corsair-Ddr2-2gb-800-Dimm/dp/B0027A632U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0027A632U
453,Corsair 2GB Dual Channel DDR Memory Kit,$44.9 USD,Corsair,VS2GBKIT400C3,132017663210,870584003090.0,DDR1-400,2 GB,400,3-3-3-8,2,https://www.amazon.ca/Corsair-Memory-VS2GBKIT400C3-184-Pin-Desktop/dp/B0009W7OJO?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0009W7OJO
454,Corsair 2GB Dual Channel DDR2 Memory Kit,$32.41 USD,Corsair,VS2GBKIT533D2,5054533081833,870584003588.0,DDR2-533,2 GB,533,4-4-4-12,2,https://www.amazon.ca/Corsair-VS2GBKIT533D2-PC2-4200-240-pin-Channel/dp/B00069BVIK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00069BVIK
455,Corsair 8GB,$42.06 USD,Corsair,CMV8GX3M2A1600C11,843591034111,843591034111.0,DDR3-1600,8 GB,1600,11-11-11-30,2,https://www.amazon.ca/Corsair-240-Pin-1600Mhz-Desktop-CMV8GX3M2A1600C11/dp/B009CIM9X2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009CIM9X2
456,Corsair 8GB,$47.14 USD,Corsair,CMV8GX4M1A2400C16,843591024259,843591024259.0,DDR4-2400,8 GB,2400,16-16-16-39,1,https://www.amazon.ca/dp/B06XY8Z2NC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
457,Corsair 8GB Dual Channel DDR3 Memory Kit,$42.06 USD,Corsair,CMV8GX3M2A1333C9,5053313866547,12304981640.0,DDR3-1333,8 GB,1333,9-9-9-24,2,https://www.amazon.ca/Corsair-1333Mhz-PC3-10666-240-Pin-CMV8GX3M2A1333C9/dp/B0055LGG3Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0055LGG3Y
460,Corsair Dominator Platinum + AF,$180.46 USD,Corsair,CMD8GX4M2B3600C18,843591070027,843591070027.0,DDR4-3600,8 GB,3600,18-19-19-39,2,https://www.amazon.ca/Corsair-Dominator-Platinum-3600MHz-Memory/dp/B0189APT3U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0189APT3U
461,Corsair Dominator Platinum + AF,$205.77 USD,Corsair,CMD8GX4M2B4000C19,843591088114,843591088114.0,DDR4-4000,8 GB,4000,19-23-23-45,2,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-4000MHz-Desktop/dp/B01F3Z64L0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F3Z64L0
462,"Corsair Dominator Platinum + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",$499.49 USD,Corsair,CMD32GX4M4B3600C16,843591092432,843591092432.0,DDR4-3600,32 GB,3600,16-16-16-36,4,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-3600MHz-Desktop/dp/B01GELBHG4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GELBHG4
463,"Corsair Dominator Platinum + AF, DDR4-3600, CL 18 - 16 GB Quad Kit",$321.04 USD,Corsair,CMD16GX4M4B3600C18,843591068369,843591068369.0,DDR4-3600,16 GB,3600,18-19-19-39,4,https://www.amazon.ca/Corsair-Dominator-Platinum-KitCMD16GX4M4B3600C18-Aluminium/dp/B0143UM97Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0143UM97Y
464,"Corsair Dominator Platinum + AF, DDR4-3733, CL 17 - 8 GB Dual Kit",$209.81 USD,Corsair,CMD8GX4M2B3733C17,843591085014,843591085014.0,DDR4-3733,8 GB,3733,17-19-19-39,2,https://www.amazon.ca/Corsair-Dominator-Platinum-PC4-29800-Memory/dp/B01BYMN9NW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BYMN9NW
465,"Corsair Dominator Platinum + AF, DDR4-3866, CL 18 - 8 GB Dual Kit",$218.65 USD,Corsair,CMD8GX4M2B3866C18,843591090193,843591090193.0,DDR4-3866,8 GB,3866,18-22-22-40,2,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-3866MHz-Desktop/dp/B01FUORBDO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01FUORBDO
466,Corsair Dominator Platinum DDR4-2400 CL14,$1437.15 USD,Corsair,CMD128GX4M8A2400C14,843591067409,843591067409.0,DDR4-2400,128 GB,2400,,1,https://www.amazon.ca/Corsair-Dominator-Platinum-Systems-CMD128GX4M8A2400C14/dp/B0104LRLQ0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0104LRLQ0
467,Corsair Dominator Platinum DDR4-2666 CL15,$221.38 USD,Corsair,CMD16GX4M4A2666C15,843591055468,,DDR4-2666,16 GB,2666,,4,https://www.amazon.ca/Corsair-DOMINATOR-Platinum-2666MHz-CMD16GX4M4A2666C15/dp/B00MPIEDWG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MPIEDWG
468,Corsair Dominator Platinum DDR4-2666 CL15,$784.99 USD,Corsair,CMD128GX4M8A2666C15,843591067430,843591067430.0,DDR4-2666,128 GB,2666,,1,https://www.amazon.ca/Corsair-Dominator-Platinum-Systems-CMD128GX4M8A2666C15/dp/B010BBFS36?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B010BBFS36
472,Corsair Dominator Platinum DDR4-3000 CL15,$108.8 USD,Corsair,CMD16GX4M2B3000C15,843591069779,843591069779.0,DDR4-3000,16 GB,3000,,2,https://www.amazon.ca/dp/B0134EVVO2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
473,Corsair Dominator Platinum DDR4-3000 CL15,$111.32 USD,Corsair,CMD8GX4M2B3000C15,843591071918,843591071918.0,DDR4-3000,8 GB,3000,,2,https://www.amazon.ca/Corsair-Dominator-Platinum-3000MHz-Memory/dp/B01550ZJPA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01550ZJPA
474,Corsair Dominator Platinum DDR4-3000 CL16,$1241.87 USD,Corsair,CMD128GX4M8B3000C16,843591090674,843591090674.0,DDR4-3000,128 GB,3000,,1,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-3000MHz-Desktop/dp/B01F3Z6528?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F3Z6528
477,Corsair Dominator Platinum RGB,$118.95 USD,Corsair,CMT32GX5M2B5600C36,840006660804,,DDR5-5600,32 GB,5600,40-40-40-77,2,https://www.amazon.ca/dp/B09R7TDMSW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
478,Corsair Dominator Platinum RGB,$148.72 USD,Corsair,CMT32GX5M2B5200C40,840006659471,,DDR5-5200,32 GB,5200,40-40-77,2,https://www.amazon.ca/dp/B09NCP3RWB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
479,Corsair Dominator Platinum RGB,$170.46 USD,Corsair,CMT32GX5M2B6400C32,840006602026,,DDR5-6400,32 GB,6400,32-40-40-84,2,https://www.amazon.ca/dp/B0BPLCCR1J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
480,Corsair Dominator Platinum RGB,$174.08 USD,Corsair,CMT32GX5M2X6200C36W,840006663553,,DDR5-6200,32 GB,6200,36-39-39-76,2,https://www.amazon.ca/dp/B0B15CZ4ZV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
481,Corsair Dominator Platinum RGB,$195.11 USD,Corsair,CMT64GX5M2B5200C40,840006660965,,DDR5-5200,64 GB,5200,40-40-40-77,2,https://www.amazon.ca/dp/B09RX4N6JZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
482,Corsair Dominator Platinum RGB,$224.86 USD,Corsair,CMT64GX5M2B5200C40W,840006663560,,DDR5-5200,64 GB,5200,40-40-40-77,2,https://www.amazon.ca/dp/B09W2Z4QB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
483,Corsair Dominator Platinum RGB,$232.11 USD,Corsair,CMT64GX5M2X5600C40,840006692263,,DDR5-5600,64 GB,5600,40-40-40-77,2,https://www.amazon.ca/dp/B0B15BDZMV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
484,Corsair Dominator Platinum RGB,$282.16 USD,Corsair,CMT64GX5M2B6000C40,840006601203,,DDR5-6000,64 GB,6000,40-40-40-77,2,https://www.amazon.ca/dp/B0BPL4F488?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
485,Corsair Dominator Platinum RGB,$359.05 USD,Corsair,CMT64GX5M4B6200C32,840006665489,,DDR5-6200,64 GB,6200,32-38-38-80,4,https://www.amazon.ca/dp/B0BVKZGDNN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
486,Corsair Dominator Platinum RGB,$366.31 USD,Corsair,CMT64GX5M4B6600C32,840006665502,,DDR5-6600,64 GB,6600,32-39-39-76,4,https://www.amazon.ca/dp/B0BVKYHH7Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
487,Corsair Dominator Platinum RGB,$379.61 USD,Corsair,CMT64GX5M4B6400C32,840006665496,,DDR5-6400,64 GB,6400,32-40-40-84,4,https://www.amazon.ca/dp/B0BVN2T86Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
488,Corsair Dominator Platinum RGB Series,$137.81 USD,Corsair,CMT16GX4M2C3000C15,840006607281,,DDR4-3000,16 GB,3000,15-17-17-35,2,https://www.amazon.ca/dp/B07N3H533C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
489,Corsair Dominator Platinum RGB Series,$188.59 USD,Corsair,CMT32GX4M2C3000C15,840006607335,,DDR4-3000,32 GB,3000,15-17-17-35,2,https://www.amazon.ca/dp/B07N3H4XKV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
490,Corsair Dominator Platinum RGB Series,$203.05 USD,Corsair,CMT32GX4M4C3200C16,840006607397,,DDR4-3200,32 GB,3200,16-18-18-36,4,https://www.amazon.ca/dp/B07N3HCVVW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
491,Corsair Dominator Platinum RGB Series,$239.48 USD,Corsair,CMT32GX4M4C3000C15,840006607373,,DDR4-3000,32 GB,3000,15-17-17-35,4,https://www.amazon.ca/Corsair-Dominator-Platinum-PC4-24000-Desktop/dp/B07N3HCVVV?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07N3HCVVV
492,Corsair Dominator Platinum RGB Series,$245.83 USD,Corsair,CMT32GX4M4C3600C18,840006607403,,DDR4-3600,32 GB,3600,18-19-19-39,4,https://www.amazon.ca/dp/B07N3H9MYS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
493,Corsair Dominator Platinum RGB Series,$373.56 USD,Corsair,CMT64GX4M4C3000C15,840006607427,,DDR4-3000,64 GB,3000,15-17-17-35,4,https://www.amazon.ca/dp/B07N3GV5BH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
494,Corsair Dominator Platinum RGB Series,$464.23 USD,Corsair,CMT64GX4M8C3200C16,840006607472,,DDR4-3200,64 GB,3200,16-18-18-36,8,https://www.amazon.ca/dp/B07N3L66YZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
495,Corsair Dominator Platinum RGB Series,$479.73 USD,Corsair,CMT16GX4M2K4266C19,840006609520,,DDR4-4266,16 GB,4266,19-26-26-46,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-2x8GB-PC4-34100/dp/B07N3HP6WH?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07N3HP6WH
496,Corsair Dominator Platinum RGB Series,$602.05 USD,Corsair,CMT64GX4M4K3600C18,840006607458,,DDR4-3600,64 GB,3600,18-19-19-39,4,https://www.amazon.ca/dp/B07N3HJ2DQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
497,Corsair Dominator Platinum RGB Series,$673.11 USD,Corsair,CMT64GX4M8X3600C18,840006608608,,DDR4-3600,64 GB,3600,18-19-19-39,8,https://www.amazon.ca/Corsair-Dominator-Platinum-PC4-28800-Desktop/dp/B07N3H47JS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07N3H47JS
498,Corsair Dominator Platinum RGB Series,$1156.97 USD,Corsair,CMT128GX4M8X3600C18,840006607274,,DDR4-3600,128 GB,3600,18-19-19-39,8,https://www.amazon.ca/dp/B07N3HBSC1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
499,Corsair Dominator Platinum ROG Edition 32GB,$173.47 USD,Corsair,CMD32GX4M4C3200C16-ROG,843591094573,843591094573.0,DDR4-3200,32 GB,3200,16-18-18-36,4,https://www.amazon.ca/dp/B01LYJKANQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
501,Corsair Dominator Platinum Series 128GB,$880.25 USD,Corsair,CMD128GX4M8B3200C16,843591097895,843591097895.0,DDR4-3200,128 GB,3200,16-18-18-36,8,https://www.amazon.ca/dp/B01MY2C1BU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
505,Corsair Dominator Platinum Series 16GB,$108.8 USD,Corsair,CMD16GX4M4B3200C16,4054318733675,843591073073.0,DDR4-3200,16 GB,3200,16-18-18-36,4,https://www.amazon.ca/dp/B018GK2G9S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
506,Corsair Dominator Platinum Series 16GB,$216.15 USD,Corsair,CMD16GX4M2B2400C10,843591084802,843591084802.0,DDR4-2400,16 GB,2400,10-12-12-28,2,https://www.amazon.ca/Corsair-DOMINATOR-Platinum-16GB-Memory/dp/B01BMQAMGC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BMQAMGC
507,Corsair Dominator Platinum Series 16GB,$233.1 USD,Corsair,CMD16GX4M4B3200C16R,843591068185,843591068185.0,DDR4-3200,16 GB,3200,16-18-18-36,4,https://www.amazon.ca/dp/B01G5I6HHA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
508,Corsair Dominator Platinum Series 16GB,$264.6 USD,Corsair,CMD16GX4M2E4000C19,843591024136,843591024136.0,DDR4-4000,16 GB,4000,19-23-23-45,2,https://www.amazon.ca/dp/B071L1CX4S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
509,Corsair Dominator Platinum Series 16GB,$269.2 USD,Corsair,CMD16GX4M2B3733C17,843591097628,843591097628.0,DDR4-3733,16 GB,3733,17-19-19-39,2,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3733MHz-Desktop/dp/B01MTYT5TZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MTYT5TZ
510,Corsair Dominator Platinum Series 16GB,$275.45 USD,Corsair,CMD16GX4M2B3866C18,843591097673,843591097673.0,DDR4-3866,16 GB,3866,18-22-22-40,2,https://www.amazon.ca/Corsair-CMD16GX4M2B3866C18-Dominator-PC4-30900-C18-Intel/dp/B06XKL7G59?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XKL7G59
516,Corsair Dominator Platinum Series 32GB,$151.1 USD,Corsair,CMD32GX4M4A2666C16,8435910554756,843591055475.0,DDR4-2666,32 GB,2666,16-18-18-35,4,https://www.amazon.ca/Corsair-DOMINATOR%C2%AE-Platinum-PC4-21300-CMD32GX4M4A2666C15/dp/B00NP68UJE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NP68UJE
517,Corsair Dominator Platinum Series 32GB,$166.83 USD,Corsair,CMD32GX4M2B3000C15,4053162983618,843591071161.0,DDR4-3000,32 GB,3000,15-17-17-35,2,https://www.amazon.ca/dp/B016BWENUI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
518,Corsair Dominator Platinum Series 32GB,$309.78 USD,Corsair,CMD32GX4M4C3000C15,843591088336,843591088336.0,DDR4-3000,32 GB,3000,15-17-17-35,4,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-3000MHz-Desktop/dp/B01DM29GPC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01DM29GPC
519,Corsair Dominator Platinum Series 32GB,$456.25 USD,Corsair,CMD32GX4M4B2400C10,843591084826,843591084826.0,DDR4-2400,32 GB,2400,10-12-12-28,4,https://www.amazon.ca/Corsair-Dominator-Platinum-2400MHz-Memory/dp/B01BMQAL1S?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BMQAL1S
520,Corsair Dominator Platinum Series 32GB,$481.69 USD,Corsair,CMD32GX4M4B3333C16,843591083683,843591083683.0,DDR4-3333,32 GB,3333,16-18-18-36,4,https://www.amazon.ca/Corsair-Dominator-Platinum-3333MHz-CMD32GX4M4B3333C16/dp/B01ACOAG8Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ACOAG8Y
521,Corsair Dominator Platinum Series 32GB,$551.71 USD,Corsair,CMD32GX4M4B3866C18,843591097826,843591097826.0,DDR4-3866,32 GB,3866,16-22-22-40,4,https://www.amazon.ca/Corsair-CMD32GX4M4B3866C18-Dominator-Platinum-PC4-30900/dp/B06XKGCMLS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XKGCMLS
522,Corsair Dominator Platinum Series 32GB,$565.75 USD,Corsair,CMD32GX4M4B3733C17,843591097598,843591097598.0,DDR4-3733,32 GB,3733,17-19-19-39,4,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3733MHz-Desktop/dp/B01NBIRR7B?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBIRR7B
523,Corsair Dominator Platinum Series 32GB,$597.08 USD,Corsair,CMD32GX4M4E4000C19,843591030229,843591030229.0,DDR4-4000,32 GB,4000,19-23-23-45,4,https://www.amazon.ca/Corsair-Dominator-Platinum-Memory-Intel-CMD32GX4M4E4000C19/dp/B0725JDV6T?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0725JDV6T
525,Corsair Dominator Platinum Series 64GB,$305.33 USD,Corsair,CMD64GX4M4A2666C15,843591071895,843591071895.0,DDR4-2666,64 GB,2666,15-17-17-35,4,https://www.amazon.ca/dp/B017RZ618U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
526,Corsair Dominator Platinum Series 64GB,$425.45 USD,Corsair,CMD64GX4M4C3200C16,843591084710,843591084710.0,DDR4-3200,64 GB,3200,16-18-18-36,4,https://www.amazon.ca/CORSAIR-Dominator-Platinum-3200MHz-Desktop/dp/B01BGZEQNY?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BGZEQNY
527,Corsair Dominator Platinum Series 64GB,$577.6 USD,Corsair,CMD64GX4M4C3000C15,843591089418,843591089418.0,DDR4-3000,64 GB,3000,15-17-17-35,4,https://www.amazon.ca/CORSAIR-DOMINATOR-PLATINUM-3000MHz-Desktop/dp/B01G5I6HO8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G5I6HO8
528,Corsair Dominator Platinum Series 64GB,$724.26 USD,Corsair,CMD64GX4M8A2800C16,843591055307,843591055307.0,DDR4-2800,64 GB,2800,16-18-18-36,8,https://www.amazon.ca/Corsair-DOMINATOR-Platinum-2400MHz-CMD64GX4M8A2400C14/dp/B00OTJZTBS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OTJZTBS
529,Corsair Dominator Platinum Series 64GB,$826.92 USD,Corsair,CMD64GX4M8B3200C16,843591085618,843591085618.0,DDR4-3200,64 GB,3200,16-18-18-36,8,https://www.amazon.ca/Corsair-Dominator-64GB-Black-Platinum/dp/B01BYMNEZK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BYMNEZK
